eventID,orig_last_modified,time_value,time_value_ms,quality_standardError,latitude_value,longitude_value,depth_value, absolute_depth_value, magnitude_value_P,quality_XellipseError,quality_YellipseError,theta_ellipseError,station_coda,coda_value, quality_associatedPhaseCount,quality_associated_SPhaseCount,  quality_azimuthalGap,quality_MinEpicDist,quality_MinHipoDist, creationInfo_agencyID
2010020118.49P,2010-02-04T10:51:59,2010-02-01 06:48:59,   450,0.824,  -3.4089, -79.3123,  53.63, -50.33,   4.00,   6.71,  20.36,   29.71,   vc1,   120,    20,    2, 347.61, 225.96, 232.24,    EPN
2010020202.07P,2010-02-04T11:12:24,2010-02-02 02:07:49,   210,0.485,  -0.2718, -78.8432,  11.52,  -8.22,   3.60,   0.86,   1.70,  174.04,   vc1,   100,    25,    7, 127.59,  27.22,  29.56,    EPN
2010020209.06P,2010-02-04T11:27:22,2010-02-02 09:06:18,   710,0.154,  -1.7008, -77.7638, 131.46,-128.16,   3.70,   2.26,   6.31,  178.04,   vc1,   100,    13,    1, 316.59,  77.41, 152.56,    EPN
2010020608.57P,2010-02-11T09:37:55,2010-02-06 08:56:55,   280,0.553,  -1.1630, -77.5174, 241.84,-238.54,   4.40,   2.85,   4.91,   12.54,   vc1,   350,    40,    3, 255.43,  97.15, 260.62,    EPN
2010020716.55P,2010-02-11T09:44:04,2010-02-07 04:55:11,   640,0.561,  -2.2875, -77.2146, 138.90,-135.60,   3.90,   5.35,   8.52,    1.83,   vc1,   120,    26,    3, 282.82, 109.15, 176.66,    EPN
2010020718.07P,2010-02-11T09:46:50,2010-02-07 06:07:06,   540,0.294,   0.7519, -79.0843,  33.66, -30.36,   3.50,   2.10,   3.54,  156.00,   vc1,    70,    11,    3, 324.80, 114.13, 118.99,    EPN
2010020918.32P,2010-02-11T10:17:03,2010-02-09 06:32:15,    90,0.778,  -2.2434, -77.1734,  12.00,  -8.70,   4.70,   2.32,   4.63,   86.26,   vc1,   400,    36,    6, 281.33, 113.66, 114.29,    EPN
2010021005.11P,2010-02-11T10:27:17,2010-02-10 05:11:07,   280,0.478,  -0.9586, -79.2185, 116.65,-113.35,   4.00,   1.24,   1.81,    1.89,   vc1,   170,    41,    8, 117.75,  70.49, 136.29,    EPN
2010021014.33P,2010-02-11T10:31:15,2010-02-10 02:33:35,   110,0.780,   0.6536, -79.7069,  12.00,  -8.70,   3.50,   4.21,   6.17,   98.28,   vc1,    70,    12,    3, 308.36, 147.55, 148.04,    EPN
2010021207.56P,2010-02-18T12:20:24,2010-02-12 07:55:45,   670,0.440,  -0.7746, -79.3834,  44.47, -41.17,   3.90,   2.18,   3.76,  149.62,   vc1,   150,    16,    2, 148.03,  98.24, 107.83,    EPN
2010021218.29P,2010-02-18T11:31:15,2010-02-12 06:29:23,   700,0.624,  -1.0144, -78.2991,  11.56,  -8.26,   3.50,   0.70,   3.64,  179.51,   vc1,    90,    29,    8, 181.88,  10.78,  15.80,    EPN
2010021300.55P,2010-02-18T11:35:57,2010-02-13 12:55:17,   120,0.390,  -0.9630, -79.1853, 132.19,-128.89,   3.60,   1.59,   2.26,  167.61,   vc1,   100,    26,    6, 133.60,  67.37, 148.37,    EPN
2010021317.24P,2010-02-18T11:52:07,2010-02-13 05:24:09,   730,0.611,   1.2160, -79.5983,  12.00,  -8.70,   3.50,   5.26,  27.04,  143.77,   vc1,    60,     8,    1, 349.60, 188.20, 188.59,    EPN
